pipeline,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1,n_images
dark,0.3546838748378162,0.2554165191425404,0.42937423444979295,0.2236567475851478,0.3181407842288804,0.18460476374328297,360
clahe,0.5029477041814994,0.2762493827113919,0.38153185363721637,0.18811470585376872,0.367835857498438,0.16163823251810358,360
gamma,0.5086612344410812,0.29002797549755716,0.41354535865849823,0.18501951331577135,0.3839398848754577,0.1788383183382227,360
msr,0.5879340566104447,0.2708541671372734,0.35991158392155465,0.16910725254729128,0.39284063373278,0.16079344442796917,360
llformer,0.5883092300820856,0.2325337782884897,0.43767737658449324,0.16989991202921592,0.46117814108954314,0.14163743163976394,360
