pipeline,images,mean_mae,std_mae,mean_rmse,std_rmse,mean_absrel,std_absrel,mean_valid_pixels
dark,100,0.014754139634314925,0.017111004052114666,0.02020261256140657,0.018882885962771562,0.09539698631502688,0.080290639818467,174679.04
gamma,100,0.013306742369895801,0.014671147168630721,0.018968103651423006,0.017075471880417976,0.08779875561594963,0.08513737367239486,174679.04
clahe,100,0.018801083536818624,0.023321256787605778,0.02583504422334954,0.02580975091609323,0.1354522812459618,0.27080333543269364,174679.04
msr,100,0.01782150224666111,0.017039462935191096,0.025294070593081416,0.02036989317313245,0.13136146324686707,0.2189234510699382,174679.04
llformer,100,0.011236702960450201,0.01683495656330296,0.015422183480113745,0.018210228899681116,0.07228231166489422,0.07247060987155497,174679.04
