pipeline,mean_mae,mean_rmse,mean_absrel,n_images
dark,9.660250239902073,14.824001020855373,0.3936937912194817,108
gamma,11.34911866982778,16.76291690049348,0.4641403056405209,108
clahe,9.950180738060563,15.317908384181836,0.3929825743867291,108
msr,11.861596337071171,17.375506771935356,0.4810664910409186,108
llformer,11.118319767492789,16.574158165189957,0.44742988491499863,108
