pipeline,mean_mae,mean_rmse,mean_absrel,n_images
dark,8.64828064441681,12.188702263832091,0.4607961897552013,200
gamma,9.26434576511383,13.158945341110229,0.4713803248107433,200
clahe,8.665527633428574,12.442662601470948,0.4402616063505411,200
msr,9.366296100616456,13.094158771038055,0.4847502750903368,200
llformer,9.586986439228058,13.804937336444855,0.45939728900790217,200
