method,mean_mae,mean_rmse,mean_absrel,n_images
original,8.498858070373535,12.756271915435791,0.306938479617238,200
gamma,9.466621487140655,13.843931684494018,0.34713188141584395,200
clahe,12.11771227121353,16.419338746070864,0.46832054026424885,200
msr,9.976560753583907,14.341415774822234,0.3743716700747609,200
llformer,11.856697218418121,16.42804389476776,0.45287694305181503,200
